partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",10,10,10,10,10
"JUSTICIALISTA (2)",107,116,162,178,175
"UNIÓN CÍVICA RADICAL (3)",462,450,449,469,457
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,5,5,5,5
"DEMÓCRATA CRISTIANO (5)",6,6,6,11,11
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5,5,5
"FEDERAL (8)",10,5,-,-,-
"DEMÓCRATA PROGRESISTA (9)",9,9,9,9,7
"RENOVADOR FEDERAL (10)",7,7,6,6,6
"LADRILLEROS UNIDOS (11)",27,27,27,7,7
"COMUNISTA (12)",1,1,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,9,9,9
"ACCIÓN POR CORRIENTES (14)",13,13,13,13,13
"UNIDOS POR CORRIENTES (15)",34,33,34,8,9
"LABORISTA AUTÓNOMO (17)",6,6,6,6,5
"ELI - ENCUENTRO LIBERAL (18)",182,180,178,201,202
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,14,-,-,-
"CONVOCATORIA POPULAR (21)",6,6,-,-,-
"FE (23)",0,0,0,1,1
"NUESTRA CAUSA (24)",12,12,12,13,13
"UNION POPULAR (25)",4,3,3,3,3
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",2,2,2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,7,7,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,44,46
"CIUDADANOS A GOBERNAR (30)",4,4,4,4,4
"CONSERVADOR POPULAR (31)",1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,2,2
"NUEVO PAIS (33)",2,2,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,3
"TERCERA POSICIÓN (35)",1,1,2,2,2
"UNIÓN CORRENTINA (37)",3,3,3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,21,21,-,-
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,2,2
"NORTE GRANDE (43)",7,7,7,7,8
"ACCIÓN POR LA REPÚBLICA (44)",7,6,5,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",6,6,6,6,6
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",0,0,0,0,0
"LIBERAL (51)",49,50,52,38,38
"AUTONOMISTA (52)",38,38,38,34,29
"DE LA VICTORIA (54)",10,10,10,9,9
"PROYECTO CORRIENTES (57)",8,8,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",9,9,9,7,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",21,21,21,22,23
"NUEVO (90)",1,1,1,1,1
"POPULAR CORRENTINO (169)",82,83,81,84,85
"CRECER CON TODOS (170)",2,2,2,2,2
"UNIÓN CELESTE Y BLANCO (173)",14,14,-,-,-
"COMPROMISO CORRENTINO (175)",2,2,-,-,-
"KOLINA (192)",4,4,4,4,4
"Votos en Blanco",24,39,48,27,44
"Votos Nulos",11,7,7,7,7
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
